id;session_id;multiplier;win_15;win_20;avg_15;avg_20;ev_15;ev_20;signal;ev_15_2.0;ev_20_2.0;;
1;S1;1.04;0;0;;;;;;;;;
2;S1;1.65;1;0;;;;;;;;;
3;S1;2.07;1;1;;;;;;;;;
4;S1;3.53;1;1;;;;;;;;;
5;S1;2.18;1;1;;;;;;;;;
6;S1;1.72;1;0;;;;;;;;;
7;S1;1.01;0;0;;;;;;;;;
8;S1;1.03;0;0;;;;;;;;;
9;S1;7.03;1;1;;;;;;;;;
10;S1;1.43;0;0;;;;;;;;;
11;S1;1.07;0;0;;;;;;;;;
12;S1;1.16;0;0;;;;;;;;;
13;S1;1.69;1;0;;;;;;;;;
14;S1;3.25;1;1;;;;;;;;;
15;S1;6.26;1;1;53%;;-20%;;;7%;;;
16;S1;1.8;1;0;47%;;-30%;;;-7%;;;
17;S1;3.67;1;1;47%;;-30%;;;-7%;;;
18;S1;1.19;0;0;40%;;-40%;;;-20%;;;
19;S1;1.09;0;0;47%;;-30%;;;-7%;;;
20;S1;1.22;0;0;53%;60%;-20%;-10%;;7%;20%;;
21;S1;14.73;1;1;60%;60%;-10%;-10%;;20%;20%;;
22;S1;2.94;1;1;60%;60%;-10%;-10%;;20%;20%;;
23;S1;1.13;0;0;60%;55%;-10%;-18%;;20%;10%;;
24;S1;1;0;0;67%;60%;0%;-10%;1;33%;20%;;winrate real
25;S1;1.72;1;0;73%;65%;10%;-3%;1;47%;30%;;63%
26;S1;4.06;1;1;73%;65%;10%;-3%;1;47%;30%;;# señales
27;S1;1.21;0;0;73%;65%;10%;-3%;1;47%;30%;;100
28;S1;6.64;1;1;80%;65%;20%;-3%;1;60%;30%;;winrate sin filtro
29;S1;1.2;0;0;80%;65%;20%;-3%;1;60%;30%;;49%
30;S1;1.34;0;0;87%;70%;30%;5%;1;73%;40%;;
31;S1;3.75;1;1;87%;75%;30%;13%;1;73%;50%;;
32;S1;1.08;0;0;87%;70%;30%;5%;1;73%;40%;;
33;S1;4.25;1;1;87%;70%;30%;5%;1;73%;40%;;
34;S1;2.55;1;1;87%;65%;30%;-3%;1;73%;30%;;
